LeafID,FileName,Morphology,Area_pixels,Perimeter_pixels,AspectRatio,Roundness,Solidity,Eccentricity,MeanRed,MeanGreen,MeanBlue,ExcessGreen,TextureContrast,TextureEnergy,TextureHomogeneity
1,leaf 1.jpeg,elliptic or ovate,347072,2887.932,2.08566108922662,0.522944399702796,0.948017361234407,0.877561394286477,61.0597051908538,98.528642471879,80.9684705190854,55.0291092338189,0.0786354108120637,0.489924861372318,0.978963128088814
2,leaf 2.jpeg,elliptic or ovate,318861,2384.312,1.6946792063961,0.70483116500519,0.95743703383418,0.80734318675655,46.2001687255575,85.5342923719113,61.2432470574953,63.6251689607697,0.0634775221449691,0.524847494207278,0.980117482005813
3,leaf 3.jpeg,lobed or compound,293258,7742.411,3.25962099254832,0.0614762387889316,0.344798476226309,0.951779121308973,112.216662461041,120.650935353852,105.024609729317,24.0605985173465,0.0987736644440072,0.541025148547452,0.973465719981611
4,leaf 4.jpeg,lobed or compound,362915,8046.073,1.37190491232479,0.0704444602450309,0.589276870742776,0.684605814710873,61.6814984224956,92.8666519708472,87.7517490321425,36.3000564870562,0.106267128932156,0.476139034869174,0.975179065260786
5,leaf 5.jpeg,lobed or compound,288632,4302.599,2.06175603291236,0.195926237642668,0.748849349045492,0.874501151690807,87.7206304221292,136.925320130824,112.18389506361,73.9461147759084,0.0776980305606812,0.552776287279353,0.981840947749557
6,leaf 6.jpeg,lobed or compound,252831,8784.789,2.14167086899797,0.041169682426093,0.360425101214575,0.884296839700016,76.636500270932,114.776906312913,91.2024237534163,61.7148886014769,0.161617399291388,0.603146049398637,0.971578003387095
7,leaf 7.jpeg,lobed or compound,464416,4553.068,1.11611087791681,0.281519682824705,0.735045954616749,0.444117946771732,81.0767759939365,144.322370460966,71.2867536863502,136.281211241645,0.173135785645402,0.344803684421244,0.940212015874722
8,leaf 8.jpeg,lobed or compound,338429,5945.818,2.48284419185521,0.120296837939076,0.537778738266893,0.915303908020478,97.0496322714661,112.632667413254,105.256529434534,22.9591731205068,0.104794507740424,0.491429849191074,0.970646064101538
9,leaf 9.jpeg,lobed or compound,355091,5767.232,1.13086754002715,0.134157415926692,0.682767518593436,0.46696298649602,60.7025692005711,127.92707784765,113.032191748031,82.1193947466987,0.142879295336378,0.469319436787986,0.9647503460042
10,leaf 10.jpeg,lobed or compound,356986,7115.598,1.21666431639001,0.0886009217185626,0.583927779858772,0.569603815439124,80.0381471542301,107.480186898086,81.5805885945107,53.3416380474304,0.150245035419674,0.470708623917919,0.965268675356853
